//Booster Packs
//Taken from https://yugioh.fandom.com/wiki/Booster_Pack
//International (Series 1, 2, 3 equivalent)
LOB,Legend-of-Blue-Eyes-White-Dragon
MRD,Metal-Raiders
SRL,Spell-Ruler
PSV,Pharaohs-Servant
LON,Labyrinth-of-Nightmare
LOD,Legacy-of-Darkness
PGD,Pharaonic-Guardian
MFC,Magicians-Force
DCR,Dark-Crisis
IOC,Invasion-of-Chaos
AST,Ancient-Sanctuary
//
//Series 4
SOD,Soul-of-the-Duelist
RSD,Rise-of-Destiny
FET,Flaming-Eternity
TLM,The-Lost-Millennium
CRV,Cybernetic-Revolution
EEN,Elemental-Energy
SOI,Shadow-of-Infinity
EOJ,Enemy-of-Justice
//
//Series 5
POTD,Power-of-the-Duelist
CDIP,Cyberdark-Impact
STON,Strike-of-Neos
FOTB,Force-of-the-Breaker
TAEV,Tactical-Evolution
GLAS,Gladiators-Assault
PTDN,Phantom-Darkness
LODT,Light-of-Destruction
//
//Series 6
TDGS,The-Duelist-Genesis
CSOC,Crossroads-of-Chaos
CRMS,Crimson-Crisis
RGBT,Raging-Battle
ANPR,Ancient-Prophecy
SOVR,Stardust-Overdrive
ABPF,Absolute-Powerforce
TSHD,The-Shining-Darkness
//
//Series 7
DREV,Duelist-Revolution
STBL,Starstrike-Blast
STOR,Storm-of-Ragnarok
EXVC,Extreme-Victory
GENF,Generation-Force
PHSW,Photon-Shockwave
ORCS,Order-of-Chaos
GAOV,Galactic-Overlord
//
//Series 8
REDU,Return-of-the-Duelist
ABYR,Abyss-Rising
CBLZ,Cosmo-Blazer
LTGY,Lord-of-the-Tachyon-Galaxy
JOTL,Judgment-of-the-Light
SHSP,Shadow-Specters
LVAL,Legacy-of-the-Valiant
PRIO,Primal-Origin
//
//Series 9
DUEA,Duelist-Alliance
NECH,The-New-Challengers
SECE,Secrets-of-Eternity
CROS,Crossed-Souls
CORE,Clash-of-Rebellions
DOCS,Dimension-of-Chaos
BOSH,Breakers-of-Shadow
SHVI,Shining-Victories
TDIL,The-Dark-Illusion
INOV,Invasion-Vengeance
RATE,Raging-Tempest
MACR,Maximum-Crisis
//
//Series 10
COTD,Code-of-the-Duelist
CIBR,Circuit-Break
EXFO,Extreme-Force
FLOD,Flames-of-Destruction
CYHO,Cybernetic-Horizon
SOFU,Soul-Fusion
SAST,Savage-Strike
DANE,Dark-Neostorm
RIRA,Rising-Rampage
CHIM,Chaos-Impact
IGAS,Ignition-Assault
ETCO,Eternity-Code
//Series 11
ROTD,Rise-of-the-Duelist
PHRA,Phantom-Rage
